Overall Herfindahl Indices
CNTK-Microsoft                	0.0641941386711
Theano-Theano                 	0.0631636985459
caffe-BVLC                    	0.134573153919
deeplearning4j-deeplearning4j 	0.15258423672
incubator-systemml            	0.146836143603
tensorflow-tensorflow         	0.0131251991354
torch7-torch                  	0.138135515907

Per Year
Year         CNTK-Microsoft                 Theano-Theano                  caffe-BVLC                     deeplearning4j-deeplearning4j  incubator-systemml             tensorflow-tensorflow          torch7-torch                   
2008         0                              0.20118245475                  0                              0                              0                              0                              0                              
2009         0                              0.216632954957                 0                              0                              0                              0                              0                              
2010         0                              0.239904216019                 0                              0                              0                              0                              0                              
2011         0                              0.134093180434                 0                              0                              0                              0                              0                              
2012         0                              0.115932194143                 0                              0                              0.129042057121                 0                              0.313210185887                 
2013         0                              0.227408946167                 0.854073667998                 0.974687705457                 0.373310592393                 0                              0.155475206612                 
2014         0.255564468816                 0.131961469262                 0.164473851443                 0.811957210691                 0.387697049183                 0                              0.147729615262                 
2015         0.180567449984                 0.0709842034302                0.134247066201                 0.184407497845                 0.197597149798                 0.182800232989                 0.213892024703                 
2016         0.0512142449923                0.0914970020724                0.151040686514                 0.253330789237                 0.263415201956                 0.0114468128769                0.244996111173                 

Per Month
Month        CNTK-Microsoft                 Theano-Theano                  caffe-BVLC                     deeplearning4j-deeplearning4j  incubator-systemml             tensorflow-tensorflow          torch7-torch                   
2008 1       0                              0.379188712522                 0                              0                              0                              0                              0                              
2008 2       0                              0.420744844568                 0                              0                              0                              0                              0                              
2008 3       0                              0.290406467296                 0                              0                              0                              0                              0                              
2008 4       0                              0.26759241884                  0                              0                              0                              0                              0                              
2008 5       0                              0.403298176097                 0                              0                              0                              0                              0                              
2008 6       0                              0.353305785124                 0                              0                              0                              0                              0                              
2008 7       0                              0.218934911243                 0                              0                              0                              0                              0                              
2008 8       0                              0.401709401709                 0                              0                              0                              0                              0                              
2008 9       0                              0.263702706899                 0                              0                              0                              0                              0                              
2008 10      0                              0.457807041118                 0                              0                              0                              0                              0                              
2008 11      0                              0.361994459834                 0                              0                              0                              0                              0                              
2008 12      0                              0.493544356518                 0                              0                              0                              0                              0                              
2009 1       0                              0.22372528616                  0                              0                              0                              0                              0                              
2009 2       0                              0.244598765432                 0                              0                              0                              0                              0                              
2009 3       0                              0.167790970972                 0                              0                              0                              0                              0                              
2009 4       0                              0.270849080373                 0                              0                              0                              0                              0                              
2009 5       0                              0.238333333333                 0                              0                              0                              0                              0                              
2009 6       0                              0.351666666667                 0                              0                              0                              0                              0                              
2009 7       0                              0.242728531856                 0                              0                              0                              0                              0                              
2009 8       0                              0.402139917695                 0                              0                              0                              0                              0                              
2009 9       0                              0.544435627852                 0                              0                              0                              0                              0                              
2009 10      0                              0.478176652893                 0                              0                              0                              0                              0                              
2009 11      0                              0.676876179416                 0                              0                              0                              0                              0                              
2009 12      0                              0.41943359375                  0                              0                              0                              0                              0                              
2010 1       0                              0.245106382979                 0                              0                              0                              0                              0                              
2010 2       0                              0.251478420569                 0                              0                              0                              0                              0                              
