kaisheny,273
UnderdogGeek,25
jaurora,1
bencherian,1
sayanpa,33
Eldar Akchurin,541
Marko Fabry,1
hjl,3
Aayush Garg,54
Marco Fiscato,8
Mark A. Hillebrand,5
John Ludwig,2
Philipp Kranen,132
yuxiao.guo,24
Javier Luraschi,2
Benjamin Cherian,4
stonebig,7
Wolfgang Manousek,120
David Rolland,1
Mike Lanzetta,2
westonplatter,1
Jorge Tavares,3
Cha Zhang,217
Yongqiang Wang,91
frankseide,114
erw,70
Amit,54
AhmedOS,1
pkranen,20
jplu,1
jakrivan,1
Simon Layton,1
Michael Sharman,4
Alona Kharchenko,13
Saqib Shaikh,1
Jon Dehdari,2
Wayne Xiong,13
adame,15
Deyu Fu,5
Sam Abrahams,1
Frank Seide,2642
Nikola Milosavljevic,7
Vadim Mazalov,75
bmitra,140
Chiyuan Zhang,2
Lewei Lu,9
amitaga,9
Ryan Olson,1
Guoguo Chen,7
takuya-takeuchi,1
Michael Lanzetta,8
YanZhangADS,1
Sayan Pathak,2
Frank Ibem,1
mfuntowicz,1
raaaar,3
yzhang87,23
Nikos Karampatziakis,290
RuiZhao,8
fmegen@microsoft.com,1
Gaizka Navarro,118
Chris Basoglu,144
Yu Zhang,13
PZ Read,1
Marko Radmilac,31
David Pisani,2
Vladimir Ivanov,29
Matan Nassau,1
PengchengHe,15
David Ruiz,1
Yu,120
Alexey,1
MalcolmSlaney,1
Carl Mungazi,1
Amit Agarwal,630
boeddeker,2
wei song,1
Fei Gao,16
thhoens,112
fcb1899,1
Guenther Schmuelling,13
David Harwath,2
Jasha Droppo,120
Ivan Rodriguez,203
U-FAREAST\fseide,88
feiga,35
Philly System Account,1
Yinggong Zhao (Person Consulting),1
vadimma,1
Cha ZHang,2
Hakan Erdogan,7
ascii991218,3
Alexey Orlov,144
unknown,9
Eugene Veselov,1
Nathan Luehr,8
Momcilo Vasilijevic,6
Jason D. Williams,1
Ubuntu,1
Hunter Lang,3
Andrew Wald,1
guhernan,2
ksyao,24
xiaohuliu,13
Roger,1
Shuxin Zheng (MSR Student-Person Consulting),3
vmazalov,1
Yinggong ZHAO,45
Alexey Kamenev,260
Malcolm Slaney,12
Alexey Reznichenko,222
Luis Velazco,3
anthonyaue,12
NORTHAMERICA\vistepan,9
jerogers-msft,1
chenguoguo,36
Sasa Galic,4
thilow,16
infwinston,1
"Liu, Boris",1
Nguyen Quy Hy,7
REDMOND\sayanpa,180
Qiwei ye,9
Ross Wightman,1
Scott Cyphers,31
Qiwei Ye,398
Clemens Marschner,149
Alexey Volkov,6
Morgan Funtowicz,6
Anton Schwaighofer,15
yuxiaoguo,31
fyc0624@gmail.com,1
Robert Pethick,1
William Darling,414
Yuchen Fan,2
Ho John Lee,3
Thilo Will,300
Cheng Tang,30
Adalberto Foresti,26
Ivan Popivanov,1
Nadav Bar,3
Miruna Oprescu,1
kaishengyao,1
JonasKloseBW,2
Junjie Qian,12
ychfan,2
jeanfad,522
Willi Richert,857
pannous,1
KeDengMS,159
Zhou Wang,380
Project Philly,717
Ivan Stojiljkovic,1
Mark Hillebrand,547
shiyang1983,1
U-EUROPE\clemensm,3
Ryan,1
Friedel van Megen,178
Suriyaa Kudo,1
Dong Yu,367
Daniel Merget,3
Mohamed Mohsen,3
Otto Lu,63
Taeguk Kwon,2
Takuma Yoshida,1
Felix Yan,1
Jian Jiao,14
Jean Baptiste Faddoul,1
Zhanghan Ke,5
Anthony Aue,5
Mike Seltzer,34
Emad Barsoum,243
HthSolid,1
missxa,1
wengong_jin,2
Matthew Chan,2
Miguel González-Fierro,2
