Jayanth Koushik,1
Faruk Ahmed,18
Aarni Koskela,1
Yurii Shevchuk,1
SinaHonari,1
Zach Ploskey,4
ivdorelian,2
Moslem Kazemi,4
Razvan Pascanu,1042
Rémy Léone,4
sentient07,141
Yoshua Bengio,17
Vincent Dumoulin,27
Fábio Perez,1
fay,10
Caglar,103
Saatvik Shah,1
Kevin Keraudren,1
mronian,4
Fei Zhan,1
Frans Cronje,1
Rami Al-Rfou,14
john salvatier,1
p,2
Thomas George,31
theano-bot,3
rman@rpad,7
Christof Angermueller,63
Ethan Buchman,2
abalkin,185
Dustin Webb,87
kuantkid,1
Eric Larsen,87
kvmanohar22,10
Michael Opitz,1
Maltimore,1
fsavard,40
Hengjean,111
gdesjardins,49
cai-lw,4
Dimitar Dimitrov,1
Kyunghyun Cho,4
desjagui@atchoum.iro.umontreal.ca,71
serdyuk,24
Rebecca N. Palmer,3
Bogdan Budescu,3
sebastien,6
Eric Laufer,2
Benni,3
Vincent Michalski,16
Kashif Rasul,4
Gijs van Tulder,111
Francesco,5
Graham Taylor,6
Sergei Lebedev,1
Sigurd Spieckermann,40
Robert Kern,1
XterNalz,1
Laboratoire d'Informatique des Systemes Adaptatifs,4
Ilya Dyachenko,2
Guillaume Desjardins,16
Firstname Lastname,5
joncrall,3
dumitru@deepnets.mtv.corp.google.com,3
Colin Raffel,9
kelvinxu,8
Joerg Bornschein,1
Tegan Maharaj,10
Nicolas Pinto,4
Philippe  Hamel,3
Jeremie Tanguay,2
desjagui,1
Wojciech Głogowski,2
wuaalb,1
Étienne Simon,2
Saxenauts,5
f0k,88
Mohamed Ishmael Diwan Belghazi,4
AdeB,53
mockingjamie,5
root,1
Yi-Lin Juang,1
Kyle Meyer,1
Martin Thoma,3
Li,41
Tanjay94,118
olivier@ordinateur-de-olivier.local,1
Ben McCann,2
Chinnadhurai Sankar,48
AlOa,16
Daniel Renshaw,6
Martin Arjovsky,2
Hannes Schulz,1
jsalvatier,5
Alexander Belopolsky,3
eckdoug@localhost,2
AlexLamb,27
Jörg Bornschein,2
Bhavishya Pohani,1
Adam Geitgey,1
Jan Schlüter,3
Nouiz,10
Iulian Vlad Serban,41
goodfeli,40
Lilian Besson,1
Justin Bayer,4
Markus Beissinger,5
Christos Tsirigotis,4
DeathMonster666,1
Marco,1
Robert McGibbon,18
bergstra@mlp4.ais.sandbox,1
memimo,1
valtron,1
Alexandre de Brebisson,3
Bryn Keller,7
Claude Coulombe,1
Ozan Çağlayan,6
bastienf@ldapk3.scinet.utoronto.ca,1
Samira Shabanian,45
Bart van Merrienboer,20
HaniAlmousli,1
james@X40,52
erhandum@bikat.iro.umontreal.ca,1
you-n-g,1
Alassane Ndiaye,3
turian@lsvm.iro.umontreal.ca,2
Ray Donnelly,5
james@crane,22
Wei Ouyang,1
Matt Graham,20
Arnaud Bergeron,2047
sergii-gavrylov,2
Mehdi Mirza,8
jakirkham,1
Iban Harlouchet,372
Nicholas Leonard,9
Tim Head,1
João Victor Tozatti Risso,1
jan-matthis,2
Li Yao,20
