,2012:5:1-2012:6:1,2012:6:1-2012:7:1,2012:7:1-2012:8:1,2012:8:1-2012:9:1,2012:9:1-2012:10:1,2012:10:1-2012:11:1,2012:11:1-2012:12:1,2012:12:1-2013:1:1,2013:1:1-2013:2:1,2013:2:1-2013:3:1,2013:3:1-2013:4:1,2013:4:1-2013:5:1,2013:5:1-2013:6:1,2013:6:1-2013:7:1,2013:7:1-2013:8:1,2013:8:1-2013:9:1,2013:9:1-2013:10:1,2013:10:1-2013:11:1,2013:11:1-2013:12:1,2013:12:1-2014:1:1,2014:1:1-2014:2:1,2014:2:1-2014:3:1,2014:3:1-2014:4:1,2014:4:1-2014:5:1,2014:5:1-2014:6:1,2014:6:1-2014:7:1,2014:7:1-2014:8:1,2014:8:1-2014:9:1,2014:9:1-2014:10:1,2014:10:1-2014:11:1,2014:11:1-2014:12:1,2014:12:1-2015:1:1,2015:1:1-2015:2:1,2015:2:1-2015:3:1,2015:3:1-2015:4:1,2015:4:1-2015:5:1,2015:5:1-2015:6:1,2015:6:1-2015:7:1,2015:7:1-2015:8:1,2015:8:1-2015:9:1,2015:9:1-2015:10:1,2015:10:1-2015:11:1,2015:11:1-2015:12:1,2015:12:1-2016:1:1,2016:1:1-2016:2:1,2016:2:1-2016:3:1,2016:3:1-2016:4:1,2016:4:1-2016:5:1,2016:5:1-2016:6:1,2016:6:1-2016:7:1,2016:7:1-2016:8:1,2016:8:1-2016:9:1
Ecole Normale Superieure, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Xamla, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0
personal, 6, 3, 4, 16, 11, 3, 2, 7, 4, 10, 4, 8, 3, 6, 7, 4, 2, 29, 3, 1, 2, 21, 38, 36, 15, 38, 10, 5, 5, 16, 20, 4, 21, 17, 14, 42, 13, 14, 34, 16, 21, 40, 33, 14, 13, 28, 30, 23, 11, 2, 8, 19
National Taiwan University, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
Carnegie Mellon School of Computer Science, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
Navmii, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Gitter, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
NEC Laboratories, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
Facebook, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 5, 0, 0, 1, 1, 2, 2, 0, 5, 4, 2, 6, 0, 1, 0, 6, 4, 1, 0, 1, 0, 2
personal?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Twitter, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 0, 0, 1, 11, 1, 1, 0, 0, 0, 2, 0, 0, 2, 3, 0, 0, 0, 0, 0
Google, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 2, 2, 1, 9, 5, 6, 4, 5, 6, 2, 5, 1, 5, 7, 3, 0, 11, 3, 4, 2, 0, 0, 0
DeepMind Technologies, 0, 0, 1, 0, 2, 0, 1, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0
NetEase, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
University of Oxford Information Engineering, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0
Massachusetts Institute of Technology, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
Moodstocks, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 3, 2, 2, 1, 1, 0, 1, 0, 1, 0, 0
nVIDIA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0
Speech Information Processing Laboratory University of Korea, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
