"{DateObject[{2012, 5, 1}], 1}","{DateObject[{2012, 6, 1}], 1}"
"{DateObject[{2012, 6, 1}], 1}","{DateObject[{2012, 7, 1}], 1}"
"{DateObject[{2012, 7, 1}], 1}","{DateObject[{2012, 8, 1}], 1}"
"{DateObject[{2012, 8, 1}], 1}","{DateObject[{2012, 9, 1}], 1}"
"{DateObject[{2012, 9, 1}], 1}","{DateObject[{2012, 10, 1}], 1}"
"{DateObject[{2012, 10, 1}], 1}","{DateObject[{2012, 11, 1}], 1}"
"{DateObject[{2012, 11, 1}], 1}","{DateObject[{2012, 12, 1}], 1}"
"{DateObject[{2012, 12, 1}], 1}","{DateObject[{2013, 1, 1}], 1}"
"{DateObject[{2013, 1, 1}], 1}","{DateObject[{2013, 2, 1}], 1}"
"{DateObject[{2013, 2, 1}], 1}","{DateObject[{2013, 3, 1}], 1}"
"{DateObject[{2013, 3, 1}], 1}","{DateObject[{2013, 4, 1}], 1}"
"{DateObject[{2013, 4, 1}], 1}","{DateObject[{2013, 5, 1}], 1}"
"{DateObject[{2013, 5, 1}], 1}","{DateObject[{2013, 6, 1}], 1}"
"{DateObject[{2013, 6, 1}], 1}","{DateObject[{2013, 7, 1}], 1}"
"{DateObject[{2013, 7, 1}], 1}","{DateObject[{2013, 8, 1}], 1}"
"{DateObject[{2013, 8, 1}], 1}","{DateObject[{2013, 9, 1}], 1}"
"{DateObject[{2013, 9, 1}], 1}","{DateObject[{2013, 10, 1}], 1}"
"{DateObject[{2013, 10, 1}], 1}","{DateObject[{2013, 11, 1}], 1}"
"{DateObject[{2013, 11, 1}], 1}","{DateObject[{2013, 12, 1}], 1}"
"{DateObject[{2013, 12, 1}], 1}","{DateObject[{2014, 1, 1}], 1}"
"{DateObject[{2014, 1, 1}], 1}","{DateObject[{2014, 2, 1}], 1}"
"{DateObject[{2014, 2, 1}], 1}","{DateObject[{2014, 3, 1}], 1}"
"{DateObject[{2014, 3, 1}], 1}","{DateObject[{2014, 4, 1}], 1}"
"{DateObject[{2014, 4, 1}], 1}","{DateObject[{2014, 5, 1}], 1}"
"{DateObject[{2014, 5, 1}], 1}","{DateObject[{2014, 6, 1}], 1}"
"{DateObject[{2014, 6, 1}], 1}","{DateObject[{2014, 7, 1}], 1}"
"{DateObject[{2014, 7, 1}], 1}","{DateObject[{2014, 8, 1}], 1}"
"{DateObject[{2014, 8, 1}], 1}","{DateObject[{2014, 9, 1}], 1}"
"{DateObject[{2014, 9, 1}], 1}","{DateObject[{2014, 10, 1}], 1}"
"{DateObject[{2014, 10, 1}], 1}","{DateObject[{2014, 11, 1}], 1}"
"{DateObject[{2014, 11, 1}], 1}","{DateObject[{2014, 12, 1}], 1}"
"{DateObject[{2014, 12, 1}], 1}","{DateObject[{2015, 1, 1}], 1}"
"{DateObject[{2015, 1, 1}], 1}","{DateObject[{2015, 2, 1}], 1}"
"{DateObject[{2015, 2, 1}], 1}","{DateObject[{2015, 3, 1}], 1}"
"{DateObject[{2015, 3, 1}], 1}","{DateObject[{2015, 4, 1}], 1}"
"{DateObject[{2015, 4, 1}], 1}","{DateObject[{2015, 5, 1}], 1}"
"{DateObject[{2015, 5, 1}], 1}","{DateObject[{2015, 6, 1}], 1}"
"{DateObject[{2015, 6, 1}], 1}","{DateObject[{2015, 7, 1}], 1}"
"{DateObject[{2015, 7, 1}], 1}","{DateObject[{2015, 8, 1}], 1}"
"{DateObject[{2015, 8, 1}], 1}","{DateObject[{2015, 9, 1}], 1}"
"{DateObject[{2015, 9, 1}], 1}","{DateObject[{2015, 10, 1}], 1}"
"{DateObject[{2015, 10, 1}], 1}","{DateObject[{2015, 11, 1}], 1}"
"{DateObject[{2015, 11, 1}], DateObject[{2015, 12, 1}]}","{"personal", 74}","{"Apache Software Foundation", 1}","{"HyperScience", 1}","{"Google", 24}"
"{DateObject[{2015, 12, 1}], DateObject[{2016, 1, 1}]}","{"personal", 248}","{"Google", 127}","{"Seris Limited Company", 1}","{"TensorFlow", 49}","{"?", 2}","{"European Organization for Nuclear Research", 2}"
"{DateObject[{2016, 1, 1}], DateObject[{2016, 2, 1}]}","{"personal", 279}","{"Google", 217}","{"Apache Software Foundation", 20}","{"TensorFlow", 193}","{"Servidor de Apontadores Portugueses Online", 1}","{"University of Washington Computer Science and Engineering", 1}","{"Phybbit", 1}","{"Massachusetts Institute of Technology", 1}","{"Superior National School of Advanced Techniques", 1}"
"{DateObject[{2016, 2, 1}], DateObject[{2016, 3, 1}]}","{"Google", 378}","{"personal", 317}","{"Mongoose Metrics", 1}","{"Wiser", 1}","{"Royal Institute of Technology Stockholm", 2}","{"Arterys", 1}","{"TensorFlow", 173}","{"Apache Software Foundation", 7}","{"Naver", 4}","{"personal?", 1}","{"Institute of Electrical and Electronics Engineers", 1}"
"{DateObject[{2016, 3, 1}], DateObject[{2016, 4, 1}]}","{"personal", 304}","{"TensorFlow", 234}","{"Google", 396}","{"NetEase", 11}","{"University of Michigan", 4}","{"Tencent QQ", 1}","{"personal?", 1}","{"Comoyo", 1}","{"Apache Software Foundation", 4}","{"Naver", 5}","{"Civis Analytics", 1}","{"Arterys", 1}","{"Merck  & Co.", 1}"
"{DateObject[{2016, 4, 1}], DateObject[{2016, 5, 1}]}","{"personal", 227}","{"Google", 128}","{"University of Texas at Austin Computer Science", 1}","{"TensorFlow", 264}","{"NetEase", 21}","{"Apple", 1}","{"Naver", 4}","{"Tencent QQ", 3}","{"Stanford", 1}","{"Groovenauts", 3}","{"University of Michigan", 1}"
"{DateObject[{2016, 5, 1}], DateObject[{2016, 6, 1}]}","{"TensorFlow", 385}","{"personal", 251}","{"Google", 184}","{"Seoul National University", 1}","{"personal?", 1}","{"Malluba", 1}","{"Tencent QQ", 3}","{"Apache Software Foundation", 1}","{"University of Michigan", 2}"
"{DateObject[{2016, 6, 1}], DateObject[{2016, 7, 1}]}","{"personal", 241}","{"Google", 304}","{"TensorFlow", 444}","{"NetEase", 1}","{"Massachusetts Institute of Technology", 2}","{"Federal University of Rio de Janero Polytechnic School", 1}","{"Seoul National University", 1}","{"University of Alberta", 1}","{"University of Michigan", 4}","{"Georgia Tech", 2}","{"Numenta", 1}","{"Swiss Federal Unstitute of Technology in Zurich", 1}","{"Apple", 1}","{"Naver", 1}","{"Pierre and Marie Curie University", 1}","{"?", 1}"
"{DateObject[{2016, 7, 1}], DateObject[{2016, 8, 1}]}","{"personal", 101}","{"Google", 295}","{"TensorFlow", 373}","{"IBM US", 1}","{"Zenior", 1}","{"Institute of Mathematics and Computer Science University of Latvia", 6}","{"Design Condition", 1}","{"Intel", 1}","{"Bitfusion", 1}","{"Apache Software Foundation", 1}","{"NetEase", 2}"
"{DateObject[{2016, 8, 1}], DateObject[{2016, 9, 1}]}","{"Google", 421}","{"personal", 142}","{"TensorFlow", 480}","{"VirginiaTech", 1}","{"Huawei", 1}","{"Massachusetts Institute of Technology", 1}","{"Moscow Institute of Physics and Technology Department of Radio Engineering and Cybernetics", 1}","{"Federal University of Rio de Janero Polytechnic School", 1}","{"?", 2}","{"personal?", 1}","{"Alpha Heavy Industries", 2}","{"NetEase", 1}","{"University of California Berkeley", 1}","{"Seoul National University", 3}"
